Movie,Genre,Age_raiting,Director,Producer,Sequel,Distributor,Screens,Release_date
LA PLAYA DC,FICCION,Doce,JUAN ANDRES ARANGO,BURNING BLUE,NO,CINEPLEX,21--30,octubre
EL SUEÑO DE IVAN,FICCION,Todos ,OTRO,OTRO,NO,EMPRESA PRODUCTORA,21--30,mayo
PORFIRIO,FICCION,Quince,ALEJANDRO LANDES,OTRO,NO,CINE COLOMBIA,11--20,marzo
APATIA UNA PELICULA DE CARRETERA,FICCION,Quince,OTRO,OTRO,NO,PROCINAL,11--20,noviembre
GORDO CALVO Y BAJITO,ANIMACION,Doce,CARLOS OSUNA,MALTA CINE,NO,CINEPLEX,11--20,mayo
LOS COLORES DE LA MONTAÑA,FICCION,Todos ,CARLOS CESAR ARBELAEZ,EL BUS PRODUCCIONES,NO,CINE COLOMBIA,31--40,marzo
EL PARAMO,FICCION,Doce,JAIME OSORIO MARQUEZ, RHAYUELA,NO,CINE COLOMBIA,41--50,octubre
EL JEFE,FICCION,Todos ,JAIME ESCALLON ,BABILLA CINE ,NO,BABILLA FILMS,41--50,
EN COMA,FICCION,Quince,OTRO,ANTORCHA FILMS,NO,BABILLA FILMS,31--40,mayo
MAMA TOMATE LA SOPA,FICCION,Todos ,MARIO RIBERO FERREIRA,BABILLA CINE ,NO,BABILLA FILMS,71--80,diciembre
SALUDA AL DIABLO DE MI PARTE,FICCION,Quince,OTRO,SANANTERO FILMS,NO,CINE COLOMBIA,41--50,agosto
LECCIONES PARA UN BESO,FICCION,Doce,JUAN PABLO BUSTAMANTE,TALLERES UCHAWI,NO,UIP,51--60,abril
EL ESCRITOR DE TELENOVELAS,FICCION,Todos ,FELIPE DOTHEE,DAGO GARCIA PRODUCCIONES,NO,CINE COLOMBIA,71--80,diciembre
POKER,FICCION,Doce,OTRO,MADLOVE FILM FACTORY,NO,UIP,31--40,septiembre
TODOS TUS MUERTOS,FICCION,Doce,CARLOS MORENO,64 A FILMS,NO,CINE COLOMBIA,11--20,julio
LA VIDA ERA EN SERIO,FICCION,Quince,OTRO,OTRO,NO,UIP,31--40,septiembre
CON AMOR Y SIN AMOR,FICCION,Doce,OTRO,DYNAMO,NO,UIP,31--40,agosto
SILENCIO EN EL PARAISO,FICCION,Doce,COLBERT GARCIA,OCHO Y MEDIOS COMUNICACIONES,NO,CINE COLOMBIA,11--20,noviembre
LOCOS,FICCION,Quince,HAROLD TROMPETERO,TROMPETERO PRODUCCIONES,NO,CINE COLOMBIA,11--20,mayo
PEQUEÑAS VOCES,ANIMACION,Siete,OTRO,OTRO,NO,CINECOLOR FILMS,81--90,septiembre
KAREN LLORA EN UN BUS,FICCION,Doce,OTRO,OTRO,NO,CINE COLOMBIA,1--10,mayo
POSTALES COLOMBIANAS,FICCION,Doce,RICARDO CORAL,OTRO,NO,PROCINAL,1--10,noviembre
CUARENTA,FICCION,Doce,OTRO,LULO FILMS,NO,BABILLA FILMS,1--10,julio
EL PASEO,FICCION,Todos ,HAROLD TROMPETERO,DAGO GARCIA PRODUCCIONES,NO,CINE COLOMBIA,61--70,diciembre
